Number,,AVGScore For Four Year,AVGScore For Two Year
2,Agricultural Sciences,19.8,17.3
3,Architecture,20.8,19.6
4,Area Studies,21.2,19.3
5,Visual & Preforming Arts,20.7,20.7
6,Business,20.5,20
7,Communications,20.7,20.7
8,Family & Community Services,18.2,14.2
9,Computer Science,24.5,23.4
10,Mathematics,24.5,23.4
11,Education,19.8,17.6
12,General Engineering,23.8,20.3
13,Engineering Technology,20.7,19
14,English Language & Literature,22.9,20.4
15,Foreign Language,22.9,20.4
16,Health Administration,17.7,15.2
17,Health Sciences & Technology,21,18.4
18,Philosophy & Religion,20.8,17.5
19,Construction Science,16.7,18.6
20,Biology,24,20.4
21,Law,22.4,18
