Number,,Early Career Pay,Mid-Career Pay,,,
2,Agricultural Sciences,49100.00,72400.00,,,
3,Architecture,49100.00,80300.00,,,
4,Area Studies,42200.00,62500.00,,,
5,Visual & Preforming Arts,42000.00,65300.00,,,
6,Business,43900.00,66000.00,,,
7,Communications,43700.00,66900.00,,,
8,Family & Community Services,41700.00,67700.00,,,
9,Computer Science,52200.00,88200.00,,,
10,Mathematics,45800.00,76500.00,,,
11,Education,36000.00,55400.00,,,
12,General Engineering,50900.00,91300.00,,,
13,Engineering Technology,50100.00,90800.00,,,
14,English Language & Literature,42300.00,61900.00,,,
15,Foreign Language,38200.00,55300.00,,,
16,Health Administration,43300.00,52800.00,,,
17,Health Sciences & Technology,44700.00,63600.00,,,
18,Philosophy & Religion,40400.00,70600.00,,,
19,Construction Science,52800.00,88700.00,,,
20,Biology,40900.00,64800.00,,,
21,Law,45900.00,65200.00,,,
